(5052, 0)
(19640, 0)
(18648, 0)
(8612, 0)
(16148, 0)
(824, 0)
(6700, 0)
(12928, 0)
(13740, 0)
(13096, 0)
(3872, 0)
(23096, 0)
(23916, 0)
(624, 0)
(16032, 0)
(21012, 0)
(2980, 0)
(14376, 0)
(9572, 0.3247999999999999)
(18924, 0)
(10268, 0)
(7188, 0)
(2120, 0)
(19052, 0)
(16484, 0)
(8148, 0)
(9360, 0)
(14344, 0)
(3420, 0)
(7768, 0)
(4624, 0)
(25396, 0)
(21776, 0)
(8868, 0)
(12968, 0)
(15144, 0)
(8708, 0)
(23776, 0)
(3032, 0)
(4700, 0)
(9124, 0)
(25480, 0)
(25388, 0)
(284, 0)
(1044, 0)
(11712, 0)
(3412, 0)
(17228, 0)
(7504, 0)
(12212, 0)
(10588, 0)
(17536, 0)
(22476, 0)
(17932, 0)
(1000, 0)
(5464, 0)
(23576, 0)
(580, 0)
(15880, 0)
(14308, 0)
(22184, 0)
(23836, 0)
(20960, 0)
(14500, 0)
(1508, 0)
(2004, 0)
(14020, 0)
(6072, 0)
(6804, 0)
(19624, 0)
(6512, 0)
(18904, 0)
(6724, 0)
(8968, 0)
(12260, 0)
(24924, 0)
(13276, 0)
(19992, 0)
(14316, 0)
(13008, 0)
(24640, 0)
(140, 0)
(1248, 0)
(4952, 0)
(5060, 0)
(20660, 0)
(21432, 0)
(5136, 0)
(13556, 0)
(22644, 0)
(21816, 0)
(11640, 0)
(23708, 0)
(10620, 0)
(1880, 0)
(21048, 0)
(8932, 0)
(11808, 0)
(18560, 0)
(15624, 0)
(2368, 0)
(20168, 0)
(5672, 0)
(16020, 0)
(896, 0)
(16368, 0)
(21608, 0)
(8476, 0)
(13388, 0)
(18676, 0)
(25408, 0)
(6408, 0)
(14628, 0)
(4512, 0)
(6892, 0)
(8280, 0)
(18160, 0)
(24568, 0)
(3804, 0)
(22436, 0)
(9504, 0)
(392, 0)
(23344, 0)
(10956, 0)
(23552, 0)
(6832, 0)
(18940, 0)
(24620, 0)
(1172, 0)
(8408, 0)
(11032, 0)
(2752, 0)
(25872, 0)
(20148, 0)
(24860, 0)
(25948, 0)
(4252, 0)
(4868, 0)
(10912, 0)
(22836, 0)
(13932, 0)
(22028, 0)
(10676, 0)
(7264, 0)
(1736, 0)
(14424, 0)
(3228, 0)
(16640, 0)
(1600, 0)
(19404, 0)
(17968, 0)
(2080, 0)
(1968, 0)
(17392, 0)
(21968, 0)
(6556, 0)
(25988, 0)
(14924, 0)
(18408, 0)
(2536, 0)
(22620, 0)
(6468, 0)
(13060, 0)
(8928, 0)
(2420, 0)
(12112, 0)
(17440, 0)
(18140, 0)
(19184, 0)
(18008, 0)
(19340, 0)
(408, 0)
(7584, 0)
(272, 0)
(2912, 0)
(11840, 0)
(15300, 0)
(19012, 0)
(10456, 0)
(13320, 0)
(11696, 0)
(15784, 0)
(13384, 0)
(4032, 0)
(16056, 0)
(244, 0)
(14952, 0)
(16900, 0)
(13480, 0)
(25996, 0)
(20248, 0)
(8552, 0)
(5712, 0)
(11868, 0)
(16224, 0)
(3944, 0)
(1588, 0)
(19048, 0)
(26088, 0)
(24240, 0)
(4416, 0)
(9616, 0)
(20940, 0)
(2656, 0)
(14560, 0)
(22832, 0)
(22748, 0)
(11604, 0)
(4756, 0)
(20792, 0)
(4472, 0)
(20616, 0)
(15552, 0)
(12032, 0)
(9264, 0)
(10524, 0)
(3916, 0)
(19932, 0)
(25864, 0)
(19936, 0)
(8596, 0)
(17944, 0)
(20884, 0)
(2348, 0)
(17276, 0)
(25316, 0)
(11876, 0)
(15824, 0)
(17864, 0)
(12720, 0)
(5156, 0)
(13528, 0)
(8428, 0)
(25836, 0)
(18764, 0)
(11112, 0)
(14864, 0)
(18600, 0)
(11700, 0)
