(14265, 0)
(18757, 0)
(2133, 0)
(22393, 0)
(17309, 0)
(24833, 0)
(7893, 0)
(9017, 0)
(16589, 0)
(3937, 0)
(3441, 0)
(8157, 0)
(7713, 0)
(8701, 0)
(14337, 0)
(11241, 0)
(3345, 0)
(11077, 0)
(21389, 0)
(13597, 0)
(3409, 0)
(18001, 0)
(22177, 0)
(13713, 0)
(2949, 0)
(10113, 0)
(11661, 0)
(13621, 0)
(5809, 0)
(18457, 0)
(13813, 0)
(1545, 0)
(5729, 0)
(5233, 0)
(13653, 0)
(1877, 0)
(16101, 0)
(13529, 0)
(6857, 0)
(24781, 0)
(23689, 0)
(5597, 0)
(3765, 0)
(11801, 0)
(23441, 0)
(449, 0)
(9337, 0)
(1497, 0)
(4241, 0)
(4697, 0)
(15409, 0)
(1153, 0)
(17501, 0)
(19657, 0)
(9417, 0)
(24009, 0)
(15961, 0)
(15205, 0)
(8365, 0)
(23665, 0)
(18365, 0)
(19517, 0)
(22989, 0)
(16469, 0)
(17245, 0)
(15353, 0)
(6709, 0)
(3209, 0)
(1833, 0)
(8177, 0)
(16741, 0)
(19233, 0)
(19297, 0)
(20597, 0)
(19149, 0)
(15249, 0)
(12665, 0)
(7449, 0)
(10841, 0)
(23409, 0)
(3953, 0)
(2081, 0)
(1941, 0)
(13469, 0)
(23137, 0)
(9629, 0)
(19865, 0)
(18109, 0)
(3561, 0)
(24149, 0)
(11821, 0)
(21469, 0)
(16429, 0)
(9889, 0)
(773, 0)
(9341, 0)
(185, 0)
(18649, 0)
(19573, 0)
(22601, 0)
(22793, 0)
(293, 0)
(14093, 0)
(1425, 0)
(20345, 0)
(10801, 0)
(1217, 0)
(2165, 0)
(6033, 0)
(23233, 0)
(11493, 0)
(3909, 0)
(3593, 0)
(5413, 0)
(11617, 0)
(1765, 0)
(7829, 0)
(19101, 0)
(11733, 0)
(17285, 0)
(25469, 0)
(2501, 0)
(24961, 0)
(2569, 0)
(15477, 0)
(26005, 0)
(19061, 0)
(4069, 0)
(13741, 0)
(9829, 0)
(16041, 0)
(24753, 0)
(2449, 0)
(7637, 0)
(17273, 0)
(1997, 0)
(2741, 0)
(16921, 0)
(5541, 0)
(5621, 0)
(2789, 0)
(21333, 0)
(25877, 0)
(18097, 0)
(24113, 0)
(18445, 0)
(20229, 0)
(17589, 0)
(11925, 0)
